Character Name,Height,Weight,Bust,Waist,Hip,Gender,Eye Color,Hair Color,Hair Length,Apparent Age,Animal Ears,
Miiya Nekomori,,,,,,Female ,Blue / Green ,Orange ,To Waist ,Teen ,No ,
Grimlock,,,,,,Female ,Red ,Blue ,Past Waist ,Adult ,No ,
Tae Isawa,,,,,,Female ,Purple ,Gray ,To Neck ,Teen ,No ,
Jessica,,,,,,Female ,Black ,Gray ,To Neck ,Adult ,No ,
Yuuna Shirosaki,,,,,,Female ,Red ,Brown ,To Waist ,Adult ,No ,
Chihiro Azusa,,,,,,Female ,Blue ,Brown ,To Neck ,Adult ,No ,
Kawakaze,,,,,,Female ,Blue ,Red ,Past Waist ,Teen ,No ,
Masseuse,,,,,,Female ,Purple ,Brown ,To Neck ,Adult ,No ,
Orie Kano,,,,,,Female ,Red ,Blonde ,Past Waist ,Adult ,No ,
Nagisa Yaotome,,,,,,Female ,Gray ,Gray ,To Neck ,Teen ,No ,
Yuki Sexaroid,,,,,,Female ,Yellow ,Blonde ,Past Waist ,Teen ,No ,
Suzuna Sawarabi,157cm,,88cm,57cm,84cm,Female ,Purple ,Orange ,To Shoulders ,Teen ,No ,
Roatreamon,,,,,,Female ,Purple ,Brown ,To Waist ,Teen ,No ,
Chiharu Ogawa,,,,,,Female ,Red ,Black ,To Waist ,Teen ,No ,
Gisela von Christ,,,,,,Female ,Green ,Green ,To Waist ,Teen ,No ,
An Shirogane,,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Masako,,,,,,Female ,Brown ,Black ,To Waist ,Teen ,No ,
Yuuki Kajiki,,,,,,Female ,Blue ,Brown ,Past Waist ,Adult ,No ,
Isora,,,,,,Female ,Red ,Green ,To Ears ,Teen ,No ,
Musa,,,,,,Female ,Black ,Black ,To Ears ,Teen ,No ,
Selene,,,,,,Female ,Blue ,Blue ,To Shoulders ,Teen ,No ,
Yurika Toba,160cm,,85cm,55cm,88cm,Female ,Blue ,Gray ,To Chest ,Adult ,No ,
Cure Windy,,,,,,Female ,Purple ,Purple ,Past Waist ,Teen ,No ,
Chikako Ubukata,162cm,,,,,Female ,Blue ,Blonde ,To Chest ,Teen ,No ,
Sharon Cunningham,,,,,,Female ,Purple ,Gray ,To Chest ,Teen ,No ,
Non Toyoguchi,,,,,,Female ,Red ,Red ,To Shoulders ,Teen ,No ,
Kiyoka Akiyama,,,,,,Female ,Green ,Black ,Past Waist ,Adult ,No ,
Tsukasa Minomura,,,,,,Female ,Purple ,Blue ,Past Waist ,Teen ,No ,
Sarya,,,,,,Female ,Yellow ,Blonde ,Past Waist ,Teen ,Elf ,
Misaki Wakai,,,,,,Female ,Brown ,Red ,To Neck ,Adult ,No ,
Rosa Hamilton,,,,,,Female ,Brown ,Brown ,Past Waist ,Adult ,No ,
Wrench,,,,,,Female ,Purple ,Red ,To Neck ,Adult ,No ,
Mitsuha Miyamizu ,,,,,,Female ,Brown ,Black ,To Chest ,Adult ,No ,
Hildr ,,,,,,Female ,Red ,Pink ,To Shoulders ,Teen ,No ,
Saki Munakura,,,,,,Female ,Orange ,Green ,To Neck ,Teen ,No ,
Mitsu Himemiya,,,,,,Female ,Purple ,Pink ,To Waist ,Teen ,No ,
Shiho Fujinomori,,,,,,Female ,Blue ,Black ,To Chest ,Adult ,No ,
Konagi,162cm,,85cm,55cm,87cm,Female ,Brown ,Purple ,To Waist ,Teen ,No ,
Haruna Takatsuki,,,,,,Female ,Yellow ,Orange ,Past Waist ,Teen ,No ,
Ikura Seto,163cm,,86cm,57cm,86cm,Female ,Blue ,Blonde ,To Neck ,Teen ,No ,
Rio Wakatsuki,166cm,,94cm,60cm,88cm,Female ,Yellow ,Blue ,Past Waist ,Adult ,No ,
Rikako Segawa,,,,,,Female ,Red ,Black ,Past Waist ,Teen ,No ,
Matsuyo Matsuno,,,,,,Female ,Black ,Black ,To Neck ,Adult ,No ,
Nei Kisaragi,,,,,,Female ,Yellow ,Blonde ,Past Waist ,Adult ,No ,
Anise Sawatari,,,,,,Female ,Pink ,Blue ,Past Waist ,Adult ,No ,
Mafuyu Yurikawa,,,,,,Female ,Green ,Purple ,To Waist ,Teen ,No ,
Eriko Shimotsuki,,,,,,Female ,Yellow ,Blonde ,Past Waist ,Adult ,No ,
Kyouko Kitahama,,,,,,Female ,Purple ,Brown ,To Neck ,Adult ,No ,
Ronnie,,,,,,Female ,Blue ,Blonde ,To Chest ,Adult ,No ,
Kana Mutsuki,,,,,,Female ,Red ,Black ,To Chest ,Teen ,No ,
Momoka Sakura,,,,,,Female ,Green ,Brown ,To Neck ,Teen ,No ,
Sakuya Kiryuu,,,,,,Female ,Yellow ,Blue ,To Chest ,Teen ,Animal ,
Ume Youka,,,,,,Female ,Green ,Maroon ,To Shoulders ,Teen ,No ,
Moe Namihara,,,,,,Female ,Yellow ,Brown ,To Chest ,Teen ,No ,
Riruka Saotome,,,,,,Female ,Red ,Brown ,To Neck ,Teen ,No ,
FMG-9,,,,,,Female ,Pink ,Brown ,To Shoulders ,Teen ,No ,
Esther Alfheim,,,,,,Female ,Blue ,Blonde ,Past Waist ,Adult ,Elf ,
Mifry,,,,,,Female ,Purple ,Blue ,To Shoulders ,Adult ,No ,
Chitose Himuro,,,,,,Female ,Red ,Blue ,To Waist ,Teen ,No ,
Nicola Cepheus,,,,,,Female ,Red ,Blonde ,To Waist ,Teen ,No ,
Langley,,,,,,Female ,Brown ,Green ,To Waist ,Teen ,No ,
Eiko Arima,,,,,,Female ,Gray ,Brown ,To Neck ,Adult ,No ,
Camellia,,,,,,Female ,Green ,Blonde ,To Neck ,Adult ,No ,
Jashin-chan,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Yuka Kashiwagi,156cm,43kg,84cm,58cm,82cm,Female ,Yellow ,Brown ,To Waist ,Adult ,No ,
Teresa Wong,,,,,,Female ,Green ,Red ,To Ears ,Adult ,No ,
Himiko Kudou ,152cm,48kg,,,,Female ,Blue ,Green ,To Ears ,Teen ,No ,
Rinka Kiyomizu,,,,,,Female ,Yellow ,Black ,To Waist ,Teen ,No ,
Claudia Gristin,,,,,,Female ,Green ,Blonde ,Past Waist ,Adult ,No ,
Nico Sandleave,,,,,,Female ,Blue ,Blue ,To Chest ,Teen ,No ,
Ayaka Nakano,,,,,,Female ,Blue / Green ,Blonde ,To Neck ,Teen ,No ,
Maeda's Mother,,,,,,Female ,Black ,Brown ,To Neck ,Adult ,No ,
Laurier,159cm,,83cm,56cm,84cm,Female ,Blue ,Brown ,To Neck ,Teen ,No ,
Horus,166cm,,85cm,60cm,84cm,Female ,Blue ,Black ,To Waist ,Adult ,No ,
Aero,,,,,,Female ,Brown ,Brown ,To Neck ,Adult ,No ,
Karon Ratto,,,,,,Female ,Brown ,Brown ,Hair Up / Indeterminate ,Adult ,No ,
Ibuki Yagami,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Yachiyo,,,,,,Female ,Purple ,Brown ,To Shoulders ,Adult ,No ,
Cecil Epps,,,,,,Female ,Green ,Brown ,To Ears ,Adult ,No ,
Mizuha Miyama,,,,,,Female ,Brown ,Blonde ,To Ears ,Teen ,No ,
Karlsruhe,,,,,,Female ,Gray ,White ,Past Waist ,Adult ,No ,
Kohane Tsuruyi,,,,,,Female ,Gray ,Brown ,Past Waist ,Teen ,No ,
Jacquette,,,,,,Female ,Green ,Blonde ,To Shoulders ,Adult ,No ,
Arin,,,,,,Female ,Red ,White ,Past Waist ,Teen ,No ,
Shiho Makihara,,,,,,Female ,Blue ,Brown ,To Waist ,Adult ,No ,
Aushully,,,,,,Female ,Purple ,Blue ,To Shoulders ,Teen ,No ,
Hanna Mikage,,,,,,Female ,Brown ,Blonde ,To Waist ,Teen ,No ,
Kanade Hyakka,160cm,,84cm,56cm,88cm,Female ,Blue ,Blue / Green ,To Chest ,Teen ,No ,
Mio Sakaki,153cm,,90cm,59cm,86cm,Female ,Green ,Brown ,To Chest ,Teen ,No ,
Kuroko Shirai ,152cm,,,,,Female ,Brown ,Pink ,To Chest ,Teen ,No ,
Nozomi Takasaki,,,,,,Female ,Orange ,Brown ,To Chest ,Adult ,No ,
Strength,,,,,,Female ,Orange ,White ,To Ears ,Teen ,No ,
Mirei Yasoshima,160cm,,110cm,63cm,94cm,Female ,Green ,Brown ,To Neck ,Adult ,No ,
Neneko Shiroi,,,,,,Female ,Purple ,Purple ,Past Waist ,Teen ,No ,
Chihaya Senou,,,,,,Female ,Gray ,Gray ,To Neck ,Adult ,No ,
Keisetsu Kazamine,,,,,,Female ,Pink ,Pink ,To Waist ,Teen ,No ,
Katashiro,,,,,,Female ,Not Visible ,Not Visible ,No Hair ,Teen ,No ,
Haruna Hosotani,,,,,,Female ,Purple ,Red ,To Shoulders ,Teen ,No ,
Ritsu Nekokai,,,,,,Female ,Blue ,Blonde ,To Chest ,Teen ,Animal ,
Anri Francis La Be...,,,,,,Female ,Blue ,Blue ,Past Waist ,Teen ,No ,
Wakana Imasato,,,,,,Female ,Green ,Orange ,To Neck ,Teen ,No ,
Aoi Sugimura,,,,,,Female ,Blue / Green ,Brown ,To Shoulders ,Adult ,No ,
Elsha Lean,,,,,,Female ,Green ,Orange ,Past Waist ,Teen ,No ,
Honey Bee,,,,,,Female ,Gray ,Blonde ,To Shoulders ,Teen ,No ,
Sourin Ootomo,,,,,,Female ,Green ,Blonde ,Past Waist ,Adult ,No ,
Yubel,,,,,,Female ,Yellow ,White ,To Shoulders ,Adult ,No ,
Marida,,,,,,Female ,Yellow ,Green ,To Chest ,Adult ,No ,
Nono Kanno,,,,,,Female ,Green ,Blue ,To Shoulders ,Teen ,No ,
Natsue Awayuki,,,,,,Female ,Purple ,Black ,Hair Up / Indeterminate ,Adult ,No ,
Dawn Bellweather,,,,,,Female ,Green ,White ,No Hair ,Adult ,Yes ,
Mitsuki,,,,,,Female ,Brown ,Brown ,To Neck ,Adult ,No ,
Rina Barn,,,,,,Female ,Blue / Green ,Black ,To Chest ,Teen ,No ,
Randgriz,,,,,,Female ,Green ,Brown ,Past Waist ,Adult ,No ,
Ui Nema,149cm,,,,,Female ,Pink ,Black ,To Waist ,Teen ,No ,
Eulalia,,,,,,Female ,Pink ,Orange ,To Chest ,Teen ,No ,
Kaoruko,,,,,,Female ,Blue ,Purple ,To Waist ,Teen ,No ,
Emiri Takizawa,,,,,,Female ,Purple ,Purple ,Hair Up / Indeterminate ,Adult ,No ,
Sheila Fischel,,,,,,Female ,Green ,Brown ,To Shoulders ,Teen ,No ,
Hinowa Kougetsu,,,,,,Female ,Brown ,Black ,To Waist ,Teen ,No ,
Jeanne Euphoria,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Himari Yuikawa,,,,,,Female ,Purple ,Pink ,To Neck ,Teen ,No ,
Ema,,,,,,Female ,Brown ,Blonde ,To Waist ,Teen ,Yes ,
Rio Makieda,,,,,,Female ,Red ,Purple ,To Shoulders ,Teen ,No ,
Sayuki,,,,,,Female ,Purple ,Blonde ,To Neck ,Teen ,No ,
Miyuki Sanada,167cm,,83cm,58cm,85cm,Female ,Gray ,Black ,To Neck ,Teen ,No ,
Christine,,,,,,Female ,Brown ,Blue / Green ,To Chest ,Adult ,No ,
Chae Kyung,,,,,,Female ,Purple ,Purple ,To Chest ,Teen ,No ,
Ichie Otonashi,,,,,,Female ,Yellow ,Purple ,To Waist ,Teen ,No ,
Tetsuko Kakinouchi,,,,,,Female ,Blue ,Brown ,Past Waist ,Teen ,No ,
Miraj,,,,,,Female ,Blue ,Blonde ,Past Waist ,Adult ,Horns ,
Reiko Kurebayashi,,,,,,Female ,Black ,Black ,To Shoulders ,Adult ,No ,
Touma Sawamiya,,,,,,Female ,Blue ,Brown ,To Neck ,Adult ,No ,
Yui Kamiki,170cm,46kg,,,,Female ,Blue ,Pink ,To Waist ,Adult ,No ,
Yayoi Asakura,,,,,,Female ,Brown ,Green ,To Neck ,Teen ,No ,
Kagura Inou,,,,,,Female ,Brown ,Brown ,To Chest ,Adult ,No ,
Hiyoko Osora,,,,,,Female ,Green ,Blonde ,To Chest ,Teen ,No ,
Hera,,,,,,Female ,Blue ,Pink ,To Chest ,Teen ,No ,
Latima,,,,,,Female ,Blue / Green ,Blonde ,To Waist ,Teen ,No ,
Nyatasha Nyanners,,,,,,Female ,Purple ,Pink ,To Shoulders ,Teen ,Animal ,
Airi Kuzuki,,,,,,Female ,Green ,Blue / Green ,To Neck ,Teen ,No ,
Alexstrasza,,,,,,Female ,Orange ,Red ,To Shoulders ,Adult ,Horns ,
Rina Fujiwara,,,,,,Female ,Blue ,Brown ,Past Waist ,Adult ,No ,
Hannah Bester,,,,,,Female ,Blue ,Brown ,To Neck ,Adult ,No ,
Fuuka,,,,,,Female ,Pink ,Purple ,To Waist ,Teen ,No ,
Satsuki Sakurazaki,,,,,,Female ,Brown ,Purple ,To Chest ,Teen ,No ,
Natsuko Takaishi,,,,,,Female ,Blue ,Brown ,To Neck ,Adult ,No ,
Ayame Iwagami,,,,,,Female ,Blue ,Purple ,To Waist ,Teen ,No ,
Ramika Lee,,,,,,Female ,Blue ,Blue / Green ,To Ears ,Teen ,No ,
Charlotte Jerome,,,,,,Female ,Green ,Brown ,To Waist ,Adult ,No ,
Shopkeeper,,,,,,Female ,Green ,Blonde ,To Neck ,Adult ,No ,
Kanoko Mikadono,,,,,,Female ,Purple ,Brown ,To Chest ,Adult ,No ,
Wairu,,,,,,Female ,Black ,Maroon ,To Neck ,Teen ,No ,
Pavonis,,,,,,Female ,Purple ,White ,Past Waist ,Adult ,No ,
Tsukino,171cm,,102cm,,,Female ,Yellow ,Black ,Past Waist ,Adult ,No ,
Yui Majima,,,,,,Female ,Red ,Pink ,To Neck ,Teen ,No ,
Inquisitor,,,,,,Female ,Gray ,Blue ,To Neck ,Adult ,No ,
Sakura Kumagaya,,,,,,Female ,Green ,Pink ,To Neck ,Teen ,No ,
Sakura Ninagawa,,,,,,Female ,Green ,Maroon ,To Chest ,Adult ,No ,
Kirala Mitsuboshi,,,,,,Female ,Brown ,Brown ,To Ears ,Adult ,No ,
Bronte Shirley Shi...,,,91cm,59cm,82cm,Female ,Purple ,Blonde ,To Neck ,Teen ,No ,
Rena Saionji,,,,,,Female ,Gray ,Orange ,To Chest ,Teen ,No ,
Kanaho Kon,,,,,,Female ,Yellow ,Gray ,To Waist ,Teen ,No ,
Albelda,,,,,,Female ,Red ,Gray ,Past Waist ,Teen ,No ,
Rin Oikawa,,,,,,Female ,Green ,Orange ,To Chest ,Teen ,No ,
Marie Balling,,,,,,Female ,Purple ,Pink ,To Waist ,Teen ,No ,
Momoka Morikuni,,,,,,Female ,Brown ,Brown ,To Chest ,Adult ,No ,
Kunimitsu II,,,,,,Female ,Not Visible ,Black ,To Chest ,Adult ,No ,
Ramona Wolf,,,,,,Female ,Blue ,Orange ,Past Waist ,Teen ,No ,
Ayane Fujishiro,,,,,,Female ,Pink ,Pink ,Past Waist ,Teen ,No ,
Koharu Isaka ,,,,,,Female ,Pink ,Purple ,To Chest ,Teen ,No ,
Soo Jung Choi,,,,,,Female ,Black ,Black ,Past Waist ,Teen ,No ,
Shion Sonozaki,,,,,,Female ,Blue ,Green ,To Waist ,Teen ,No ,
Anise Azeat,,,,,,Female ,Blue ,Pink ,Past Waist ,Teen ,No ,
Dandelion,,,,,,Female ,Red ,Black ,Past Waist ,Teen ,No ,
Nio Altugle,,,,,,Female ,Green ,Brown ,To Ears ,Teen ,No ,
Rio Sakakibara,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Chizuru Sagawa,,,,,,Female ,Purple ,Black ,Past Waist ,Adult ,No ,
Pico,,,,,,Female ,Red ,Blue ,To Chest ,Teen ,No ,
Mysterious Miko,,,,,,Female ,Blue ,Purple ,Past Waist ,Adult ,No ,
Nanako Watanohara,,,,,,Female ,Orange ,Blonde ,To Waist ,Teen ,No ,
Yuka Endo,,,,,,Female ,Green ,Orange ,To Ears ,Teen ,No ,
Wakaba Kamisaka,,,,,,Female ,Purple ,Black ,To Waist ,Teen ,No ,
Suu Susukino,,,,,,Female ,Purple ,Brown ,To Neck ,Teen ,No ,
Kazumi Shimotsuki,,,90cm,57cm,90cm,Female ,Blue ,Brown ,To Shoulders ,Teen ,No ,
Meiling,,,,,,Female ,Purple ,Blue / Green ,To Chest ,Teen ,No ,
Naguru Senkawa,,,,,,Female ,Green ,Black ,To Neck ,Teen ,No ,
Yukino Tsukahara,,,,,,Female ,Yellow ,Purple ,Past Waist ,Teen ,No ,
Edith Lemon,,,,,,Female ,Brown ,Blonde ,Hair Up / Indeterminate ,Teen ,No ,
Shiomi Taura,,,,,,Female ,Yellow ,Green ,To Shoulders ,Teen ,No ,
Saika Nakazaki,,,,,,Female ,Brown ,Black ,To Chest ,Adult ,No ,
Eri Midou,,,,,,Female ,Gray ,Gray ,To Ears ,Teen ,No ,
Reiri Bigou,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Hiro's Girlfriend,,,,,,Female ,Blue ,Brown ,To Neck ,Adult ,No ,
Orihime,,,,,,Female ,Yellow ,Green ,Hair Up / Indeterminate ,Teen ,No ,
Ide Tigurea,,,,,,Female ,Red ,Red ,To Shoulders ,Adult ,No ,
Kaoru Sasagase,,,,,,Female ,Purple ,Blue ,To Neck ,Teen ,No ,
Misaki Yuzuriha,,,,,,Female ,Purple ,Brown ,Past Waist ,Teen ,No ,
Kuzuha Nagi,,,,,,Female ,Green ,Gray ,To Shoulders ,Teen ,No ,
Gacky,,,,,,Female ,Gray ,Purple ,To Neck ,Teen ,No ,
Hurley,,,,,,Female ,Brown ,Brown ,To Shoulders ,Adult ,No ,
Shigure Ouji,,,,,,Female ,Blue / Green ,Black ,To Waist ,Adult ,No ,
Yaro,,,,,,Female ,Green ,Green ,Past Waist ,Teen ,No ,
Yuri Akashi,,,,,,Female ,Brown ,Brown ,To Waist ,Teen ,No ,
Shuko Murao,,,,,,Female ,Gray ,Black ,To Chest ,Teen ,No ,
Ai Kuraki,,,,,,Female ,Brown ,Pink ,To Shoulders ,Teen ,No ,
Tilia,,,,,,Female ,Yellow ,Blue ,To Neck ,Teen ,No ,
Eiko Mobuya,,,,,,Female ,Purple ,Purple ,To Waist ,Teen ,No ,
Gretel Grimm,,,,,,Female ,Red ,White ,Past Waist ,Adult ,No ,
Ritsuko Akizuki,165cm,48kg,87cm,57cm,83cm,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Hiromi Sakura,,,,,,Female ,Blue ,Black ,To Shoulders ,Teen ,No ,
Kaera Saman,,,,,,Female ,Blue ,Black ,Past Waist ,Teen ,No ,
Nana Ichijou,,,,,,Female ,Purple ,Brown ,Past Waist ,Adult ,No ,
Miharu Hayama,,,,,,Female ,Brown ,Brown ,To Chest ,Teen ,No ,
Mafuyu Shinonome,,,,,,Female ,Gray ,Gray ,Past Waist ,Teen ,No ,
Yuuki Otokura,,,,,,Female ,Gray ,Gray ,To Ears ,Teen ,No ,
Sayuri Hida,157cm,,,,,Female ,Purple ,Purple ,To Shoulders ,Teen ,No ,
Marina Bayside Arena,,,,,,Female ,Red ,Blonde ,Past Waist ,Teen ,No ,
Megumi's Mother,,,,,,Female ,Brown ,Black ,Hair Up / Indeterminate ,Adult ,No ,
Yuzu Yaehara,153cm,,78cm,56cm,80cm,Female ,Blue ,Black ,To Waist ,Teen ,No ,
Wapourif,,,,,,Female ,Green ,Blue ,To Waist ,Adult ,No ,
Makoto Ashirai,,,,,,Female ,Yellow ,Orange ,To Shoulders ,Adult ,No ,
Sachiko Yonezawa,,,,,,Female ,Purple ,Black ,To Waist ,Teen ,No ,
Musse,,,,,,Female ,Purple ,Purple ,Past Waist ,Adult ,No ,
Wanda,,,,,,Female ,Black ,Brown ,To Shoulders ,Adult ,Yes ,
Izumi ,,,,,,Female ,Brown ,Brown ,To Waist ,Teen ,No ,
Mai Mahha,,,,,,Female ,Green ,Green ,To Ears ,Adult ,No ,
Bianka,,,,,,Female ,Red ,Gray ,To Waist ,Teen ,No ,
Roxy ,,,,,,Female ,Purple ,Purple ,To Chest ,Teen ,No ,
Lori,,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Shinobu Kawajiri,,,,,,Female ,Brown ,Maroon ,To Chest ,Adult ,No ,
Haruna Numata,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Sayoko Tsukumo,158cm,,89cm,57cm,87cm,Female ,Blue ,Blonde ,To Waist ,Adult ,No ,
Priscilla Barielle,164cm,,,,,Female ,Red ,Blonde ,To Waist ,Teen ,No ,
Komachi Akimoto,,,,,,Female ,Green ,Green ,To Neck ,Teen ,No ,
Sayuri Tachibana,,,,,,Female ,Brown ,Brown ,To Chest ,Teen ,No ,
Grabel,,,,,,Female ,Red ,Blonde ,To Neck ,Adult ,No ,
Kazane Aoba,,,,,,Female ,Brown ,Brown ,To Waist ,Teen ,No ,
Domestic Dog,,,,,,Female ,Brown ,Orange ,To Shoulders ,Teen ,Animal ,
Makoto Jinnai,,,,,,Female ,Yellow ,Black ,To Neck ,Teen ,No ,
Yae Kirishima,,,,,,Female ,Purple ,Pink ,To Shoulders ,Adult ,No ,
Rika Nojima,,,,,,Female ,Brown ,Brown ,To Shoulders ,Adult ,No ,
Selfira,,,,,,Female ,Black ,Red ,Past Waist ,Adult ,Animal ,
Nanase Takatoo,,,,,,Female ,Black ,Blue ,Past Waist ,Teen ,No ,
Ederica Slowden,,,,,,Female ,Purple ,Purple ,Past Waist ,Adult ,No ,
Kureha Hizaki,,,,,,Female ,Brown ,Black ,Past Waist ,Teen ,No ,
Thrúd ,,,,,,Female ,Red ,Blonde ,Past Waist ,Teen ,No ,
Suika Hanyuu,,,,,,Female ,Green ,Brown ,To Shoulders ,Adult ,No ,
Lisette,,,,,,Female ,Blue ,Blonde ,Past Waist ,Adult ,No ,
Aya Shirotae,,,,,,Female ,Purple ,Blonde ,Past Waist ,Teen ,No ,
Eru,153cm,,94cm,56cm,89cm,Female ,Blue ,Blonde ,To Shoulders ,Teen ,No ,
Nano Takatsuki,,,,,,Female ,Green ,Green ,To Shoulders ,Adult ,No ,
Chie Katsuragi,,,,,,Female ,Purple ,Pink ,To Shoulders ,Teen ,No ,
Toshiko Yoshida,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Reloadet Haruru,,,,,,Female ,Yellow ,Purple ,To Waist ,Teen ,No ,
Maria Seidou,,,,,,Female ,Orange ,Brown ,To Waist ,Teen ,No ,
Miharu Sawaguchi,,,,,,Female ,Brown ,Blonde ,To Waist ,Teen ,No ,
Nanaka Sakura,,,,,,Female ,Blue ,Red ,To Waist ,Teen ,No ,
Hina Kiryuu,,,,,,Female ,Pink ,Blue ,To Shoulders ,Teen ,Animal ,
Yuri Wachi,,,,,,Female ,Blue ,Blue ,To Neck ,Teen ,No ,
Nanami Sakura,,,,,,Female ,Yellow ,Blonde ,Past Waist ,Teen ,No ,
Suginami,,,,,,Female ,Blue ,Blue ,To Neck ,Teen ,No ,
Fafner,,,,,,Female ,Yellow ,Blue / Green ,Past Waist ,Teen ,Elf ,
Six12,,,,,,Female ,Yellow ,White ,To Neck ,Teen ,No ,
Yui Mizushima,,,,,,Female ,Blue ,Blue ,To Neck ,Teen ,No ,
Meegan,,,,,,Female ,Blue ,Red ,To Chest ,Adult ,No ,
Haya Saotome,,,,,,Female ,Green ,Blonde ,To Neck ,Teen ,No ,
Ciel Soleil,,,,,,Female ,Blue ,Black ,To Neck ,Teen ,No ,
Lexington,,,,,,Female ,Pink ,Pink ,Past Waist ,Adult ,No ,
Yurika,,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Bataan,,,,,,Female ,Blue ,Blonde ,To Neck ,Adult ,No ,
Mamimi Samejima,,,,,,Female ,Brown ,Red ,To Shoulders ,Teen ,No ,
Odelia,,,,,,Female ,Blue ,Blue ,Past Waist ,Teen ,No ,
Poporon,,,,,,Female ,Green ,Blonde ,To Waist ,Teen ,No ,
Shino,,,,,,Female ,Brown ,Black ,Hair Up / Indeterminate ,Teen ,No ,
Tomoe Enami,158cm,48kg,89cm,60cm,87cm,Female ,Yellow ,Brown ,To Chest ,Adult ,No ,
Cindy Klein,,,,,,Female ,Yellow ,Orange ,To Neck ,Teen ,No ,
Natsumi Mizuki ,,,,,,Female ,Black ,Black ,To Chest ,Teen ,No ,
Rhyanna,,,,,,Female ,Red ,Green ,To Neck ,Teen ,No ,
Eremia Wolfstein,,,,,,Female ,Yellow ,Red ,To Waist ,Teen ,No ,
Caro,,,,,,Female ,Yellow ,Orange ,To Neck ,Teen ,No ,
Ami,,,,,,Female ,Red ,Blue ,To Waist ,Teen ,No ,
Rosary Cherbourg,,,,,,Female ,Blue ,Blonde ,To Shoulders ,Adult ,No ,
Hyuna,,,,,,Female ,Green ,Purple ,Past Waist ,Adult ,No ,
Ayame Hachiya,,,85cm,57cm,83cm,Female ,Blue ,Brown ,To Chest ,Adult ,No ,
Pai Ayanokouji,,,,,,Female ,Red ,Black ,To Shoulders ,Teen ,No ,
Rilara,,,,,,Female ,Brown ,Pink ,To Chest ,Adult ,No ,
Serpent,,,,,,Female ,Blue / Green ,Blonde ,To Neck ,Adult ,No ,
Gengetsu,,,,,,Female ,Yellow ,Blonde ,To Shoulders ,Teen ,No ,
Königsberg,,,,,,Female ,Blue ,Maroon ,To Neck ,Adult ,No ,
Aynara,,,,,,Female ,Green ,Brown ,To Chest ,Teen ,No ,
Canola,,,,,,Female ,Brown ,Brown ,To Shoulders ,Adult ,No ,
Shiina Kano,,,,,,Female ,Purple ,Maroon ,To Chest ,Teen ,No ,
Kimika Ijuuin,,,,,,Female ,Red ,Brown ,To Shoulders ,Teen ,No ,
Marle,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Kotoha Manuka,159cm,,88cm,58cm,87cm,Female ,Green ,Black ,To Chest ,Teen ,No ,
Kotoha Yanagase,155cm,,85cm,60cm,85cm,Female ,Yellow ,Blue ,To Shoulders ,Teen ,No ,
Meguru Munakata,,,,,,Female ,Red ,Black ,To Chest ,Teen ,No ,
Rei Tamura,,,,,,Female ,Purple ,Pink ,To Neck ,Teen ,No ,
Tsuzuri Tessou,,,,,,Female ,Green ,Green ,To Chest ,Teen ,No ,
Megumi Kiryu,,,,,,Female ,Yellow ,Pink ,To Shoulders ,Adult ,No ,
Yomi Takanashi,,,,,,Female ,Green ,Black ,To Shoulders ,Teen ,No ,
Urd,,,,,,Female ,Purple ,Blonde ,To Neck ,Teen ,No ,
Haruka Kumagai,,,,,,Female ,Yellow ,Black ,To Waist ,Teen ,No ,
Komatsu Daidouji,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Reve,,,,,,Female ,Blue ,Blue / Green ,To Shoulders ,Teen ,No ,
Misa Yasoshima,161cm,,92cm,58cm,86cm,Female ,Green ,Black ,To Waist ,Teen ,No ,
Tsubasa Ichiki,,,,,,Female ,Pink ,Pink ,To Chest ,Teen ,No ,
Montmorancy,,,,,,Female ,Brown ,Purple ,To Neck ,Teen ,No ,
Oomihara,,,,,,Female ,Purple ,Blonde ,To Waist ,Teen ,No ,
Cyborg Delta,,,,,,Female ,Blue / Green ,Green ,To Waist ,Teen ,No ,
Mikana Hasadumbo,,,,,,Female ,Red ,Purple ,Past Waist ,Teen ,No ,
Nachu,,,,,,Female ,Gray ,Pink ,To Shoulders ,Teen ,No ,
Hitomi Kasuya,,,,,,Female ,Pink ,Blonde ,Past Waist ,Teen ,No ,
Orihime Sasara,,,,,,Female ,Red ,Purple ,To Chest ,Teen ,No ,
Sayori Yuuzuki,,,,,,Female ,Orange ,Green ,To Neck ,Adult ,No ,
